datetime,Global_active_power,temperature_c,humidity_pct,occupancy,Sub_metering_1,Sub_metering_2,Sub_metering_3,is_weekend,is_holiday
2020-01-01 00:00:00,1.3367,1.01,58.6,0.985,0.2249,0.2299,0.3364,0,0
2020-01-01 01:00:00,1.3375,0.16,58.7,0.982,0.1724,0.2135,0.2234,0,0
2020-01-01 02:00:00,1.0185,1.64,62.9,0.97,0.1507,0.0963,0.2439,0,0
2020-01-01 03:00:00,1.1196,3.43,70.1,0.993,0.1155,0.1671,0.1691,0,0
2020-01-01 04:00:00,1.2741,1.41,68.2,0.993,0.2091,0.2144,0.1938,0,0
2020-01-01 05:00:00,1.4229,2.14,66.4,0.991,0.1754,0.2447,0.2384,0,0
2020-01-01 06:00:00,1.4704,5.63,68.7,1.0,0.2829,0.2375,0.3946,0,0
2020-01-01 07:00:00,1.807,5.19,69.7,0.984,0.2428,0.2395,0.3326,0,0
2020-01-01 08:00:00,1.5451,4.06,63.2,0.453,0.229,0.1588,0.3344,0,0
2020-01-01 09:00:00,0.8896,6.2,63.4,0.068,0.1277,0.0899,0.149,0,0
2020-01-01 10:00:00,0.77,5.17,59.1,0.122,0.1133,0.1017,0.2042,0,0
2020-01-01 11:00:00,0.6229,5.47,58.3,0.109,0.1191,0.0814,0.1774,0,0
2020-01-01 12:00:00,0.6346,6.63,62.7,0.145,0.0966,0.0746,0.1788,0,0
2020-01-01 13:00:00,0.6973,3.29,48.3,0.119,0.1153,0.0586,0.1292,0,0
2020-01-01 14:00:00,0.6886,3.28,42.6,0.069,0.1188,0.1006,0.1282,0,0
2020-01-01 15:00:00,0.5318,4.54,44.2,0.062,0.095,0.063,0.158,0,0
2020-01-01 16:00:00,0.8207,3.25,51.5,0.102,0.0943,0.1037,0.2145,0,0
2020-01-01 17:00:00,1.057,4.51,48.2,0.117,0.1107,0.1883,0.1634,0,0
2020-01-01 18:00:00,2.0076,1.9,58.8,0.967,0.2681,0.2788,0.4524,0,0
2020-01-01 19:00:00,2.5725,0.37,49.7,1.0,0.2819,0.4264,0.6297,0,0
2020-01-01 20:00:00,2.1172,3.96,54.1,1.0,0.3668,0.2659,0.3796,0,0
2020-01-01 21:00:00,2.0832,0.81,54.5,1.0,0.3866,0.3627,0.3979,0,0
2020-01-01 22:00:00,1.862,0.77,50.9,1.0,0.2962,0.165,0.5505,0,0
2020-01-01 23:00:00,1.6798,-1.77,52.1,1.0,0.2255,0.218,0.4617,0,0
2020-01-02 00:00:00,1.3744,-0.51,61.3,0.96,0.1789,0.1227,0.2086,0,0
2020-01-02 01:00:00,1.2102,0.58,54.6,0.97,0.1835,0.1997,0.2862,0,0
2020-01-02 02:00:00,1.4263,-1.01,63.2,0.954,0.2675,0.2152,0.3014,0,0
2020-01-02 03:00:00,1.2442,1.75,75.2,0.964,0.1437,0.1074,0.2894,0,0
2020-01-02 04:00:00,1.4364,0.91,64.5,1.0,0.2582,0.2367,0.3842,0,0
2020-01-02 05:00:00,1.3573,2.1,65.4,0.972,0.1663,0.1645,0.218,0,0
2020-01-02 06:00:00,1.7467,2.41,61.5,1.0,0.2132,0.1536,0.4549,0,0
2020-01-02 07:00:00,1.8776,6.87,60.7,1.0,0.2227,0.2037,0.4969,0,0
2020-01-02 08:00:00,1.6216,4.79,65.2,0.515,0.1866,0.2741,0.3941,0,0
2020-01-02 09:00:00,1.1051,3.85,61.3,0.105,0.1192,0.1865,0.2214,0,0
2020-01-02 10:00:00,0.5756,7.14,69.5,0.099,0.1087,0.0488,0.1263,0,0
2020-01-02 11:00:00,0.5293,4.38,55.8,0.092,0.0587,0.0621,0.1158,0,0
2020-01-02 12:00:00,0.3993,6.62,66.6,0.142,0.0494,0.0576,0.0703,0,0
2020-01-02 13:00:00,0.7416,3.27,53.4,0.051,0.1322,0.1244,0.1507,0,0
2020-01-02 14:00:00,0.7407,3.92,59.5,0.055,0.0805,0.1197,0.1858,0,0
